,id,id_str,user_location,country_location
210,1357243002482229249,1357243002482229249,South Africa,South Africa
211,1357145378794078209,1357145378794078209,Worldwide,Unknown
212,1357128561514196992,1357128561514196992,Florida Keys,United States
213,1357123412083187713,1357123412083187713,México,Mexico
214,1357120197019250688,1357120197019250688,"Key Largo, FL",United States
215,1357105084044353536,1357105084044353536,"Washington, D.C.",United States
216,1357098174020784129,1357098174020784129,Not Available,Unknown
217,1357069112342642688,1357069112342642688,Fort Lauderdale,United States
218,1357052192474161154,1357052192474161154,"New York, NY",United States
219,1357043035624906752,1357043035624906752,"Tromsø, Norway",Norway
220,1357026631009923072,1357026631009923072,"San Francisco, CA",United States
221,1357022029136953346,1357022029136953346,"Boston, MA",United States
222,1357018764512874497,1357018764512874497,"Washington, DC",United States
223,1357002042389106695,1357002042389106695,Los Angeles,United States
224,1356996424102268928,1356996424102268928,"Orono, ME",United States
225,1356994615207936009,1356994615207936009,"Grand Junction, CO",United States
226,1356960681040384004,1356960681040384004,Egypt,Egypt
227,1356957047556886534,1356957047556886534,"Sioux Falls, SD",United States
228,1356942937624629250,1356942937624629250,"Monaco, Indonesia, Australia",Unknown
229,1356717925772615686,1356717925772615686,Not Available,Unknown
230,1356714327202541571,1356714327202541571,"Brighton, England",United Kingdom
231,1356709351847825410,1356709351847825410,On a server somewhere,Unknown
232,1356696055715258369,1356696055715258369,"College Park, MD",United States
233,1356687696048115716,1356687696048115716,"College Station, TX",United States
234,1356672040200269824,1356672040200269824,"Virginia, USA",United States
235,1356668577097605120,1356668577097605120,"Camden, New Jersey",United States
236,1356665197256204288,1356665197256204288,"Koh Tao, Thailand",Thailand
237,1356644870186799106,1356644870186799106,"Maryland, USA",United States
238,1356642058119729152,1356642058119729152,"Wangunk land, Middletown CT",United States
239,1356631759501357056,1356631759501357056,"Atlanta, GA",United States
240,1356625884288057344,1356625884288057344,Not Available,Unknown
241,1356623429433139202,1356623429433139202,Not Available,Unknown
242,1356605023237586950,1356605023237586950,"Atlantic, Pacific, Indian, Arctic, & Southern Oceans",Unknown
243,1356603285143224320,1356603285143224320,"Sydney, London, Tokyo, Boston",Unknown
